"","date","opens","messages_received","messages_sent","likes","passes","matches"
"529",2016-11-19,137,55,87,182,454,26
"530",2016-11-20,29,25,29,46,82,6
"531",2016-11-21,0,2,0,0,0,1
"532",2016-11-22,32,27,29,56,97,6
"533",2016-11-23,4,2,0,10,22,2
"534",2016-11-24,35,22,33,99,193,7
"535",2016-11-25,0,2,0,0,0,2
"536",2016-11-26,6,0,2,73,187,4
"537",2016-11-27,17,8,6,63,148,4
"538",2016-11-28,0,0,0,0,0,1
"539",2016-11-29,7,1,0,5,4,0
"540",2016-11-30,23,19,23,22,94,4
"541",2016-12-01,2,1,0,5,7,1
"542",2016-12-02,8,6,8,25,61,2
"543",2016-12-03,79,101,123,202,581,18
"544",2016-12-04,5,6,0,0,0,16
"545",2016-12-05,2,1,0,0,1,2
"546",2016-12-06,0,0,0,0,0,3
"547",2016-12-07,0,0,0,0,0,2
"548",2016-12-08,24,23,32,36,117,2
"549",2016-12-09,2,1,0,3,3,5
"550",2016-12-10,0,1,0,0,0,2
"551",2016-12-11,0,0,0,3,1,1
"552",2016-12-12,0,1,0,0,0,2
"553",2016-12-13,4,1,2,3,9,0
"554",2016-12-14,4,3,5,26,66,4
"555",2016-12-15,7,0,1,12,44,2
"556",2016-12-16,9,3,4,30,95,0
"557",2016-12-17,28,17,13,321,736,39
"558",2016-12-18,41,49,57,227,592,39
"559",2016-12-19,7,14,5,2,5,3
"560",2016-12-20,10,11,7,10,12,2
"561",2016-12-21,34,19,23,55,146,1
"562",2016-12-22,4,2,0,8,11,3
"563",2016-12-23,19,0,4,62,102,8
"564",2016-12-24,12,3,1,30,40,1
"565",2016-12-25,4,2,4,27,31,3
"566",2016-12-26,7,1,5,36,53,5
"567",2016-12-27,17,2,6,61,120,7
"568",2016-12-28,0,2,0,1,3,4
"569",2016-12-29,10,4,6,30,52,5
"570",2016-12-30,4,2,2,3,3,3
"571",2016-12-31,15,3,2,19,58,6
"572",2017-01-01,15,4,6,14,18,2
"573",2017-01-02,33,12,12,20,55,8
"574",2017-01-03,3,0,0,23,43,4
"575",2017-01-04,9,17,14,6,12,3
"576",2017-01-05,9,2,5,45,116,2
"577",2017-01-06,4,0,3,0,0,1
"578",2017-01-07,9,2,3,27,77,4
"579",2017-01-08,18,0,4,32,58,4
"580",2017-01-09,4,3,2,20,48,2
"581",2017-01-10,18,10,14,9,14,4
"582",2017-01-11,14,9,11,21,26,0
"583",2017-01-13,0,0,0,0,0,1
"584",2017-01-15,0,0,0,0,0,1
"585",2017-01-17,3,2,3,61,157,5
"586",2017-01-18,27,35,36,10,20,3
"587",2017-01-19,17,6,11,22,54,4
"588",2017-01-20,4,3,2,9,21,4
"589",2017-01-21,0,2,0,0,0,3
"590",2017-01-22,18,20,23,79,243,15
"591",2017-01-23,23,21,26,9,27,10
"592",2017-01-24,11,5,12,18,43,3
"593",2017-01-25,5,1,1,7,52,4
"594",2017-01-26,9,0,0,8,23,0
"595",2017-01-27,1,1,0,6,19,1
"596",2017-01-28,5,0,0,3,9,2
"597",2017-01-29,30,11,14,48,116,6
"598",2017-01-30,0,0,0,0,0,1
"599",2017-01-31,0,0,0,0,0,1
"600",2017-02-01,16,4,10,46,74,6
"601",2017-02-02,33,7,2,603,1510,64
"602",2017-02-03,10,4,2,303,825,31
"603",2017-02-04,172,166,259,1357,3324,81
"604",2017-02-05,24,32,25,12,43,39
"605",2017-02-06,8,5,6,32,58,13
"606",2017-02-07,22,16,14,85,201,8
"607",2017-02-08,52,45,58,246,651,18
"608",2017-02-09,17,13,11,16,44,12
"609",2017-02-10,0,3,0,0,0,3
"610",2017-02-11,59,34,53,133,226,11
"611",2017-02-12,53,33,40,416,997,23
"612",2017-02-13,13,6,7,69,145,17
"613",2017-02-14,48,40,60,90,196,17
"614",2017-02-15,25,2,3,122,248,10
"615",2017-02-16,38,29,54,84,151,12
"616",2017-02-17,90,65,95,122,290,7
"617",2017-02-18,45,35,38,12,21,4
"618",2017-02-19,35,24,34,11,19,2
"619",2017-02-20,33,13,24,36,36,4
"620",2017-02-21,43,68,61,3,7,2
"621",2017-02-22,14,9,7,1,1,0
"622",2017-02-23,57,23,32,28,47,2
"623",2017-02-24,14,5,7,10,7,2
"624",2017-02-25,90,126,144,151,370,51
"625",2017-02-26,75,24,41,106,99,12
"626",2017-02-27,63,12,9,206,284,27
"627",2017-02-28,14,31,42,35,41,12
"628",2017-03-01,5,5,6,11,8,2
"629",2017-03-02,17,16,22,27,49,5
"630",2017-03-03,6,3,3,0,0,2
